pmid,title,authors,journal,pub_date,source,search_term,pubmed_url,fetched_at
32457216,Resistance Training for Children and Adolescents.,"Stricker PR, Faigenbaum AD, McCambridge TM et al.",Pediatrics,2020 Jun,Pediatrics,resistance training,https://pubmed.ncbi.nlm.nih.gov/32457216/,2026-01-23 16:05:36
27102172,Effects of Resistance Training Frequency on Measures of Muscle Hypertrophy: A Systematic Review and Meta-Analysis.,"Schoenfeld BJ, Ogborn D, Krieger JW","Sports medicine (Auckland, N.Z.)",2016 Nov,Sports Med,resistance training,https://pubmed.ncbi.nlm.nih.gov/27102172/,2026-01-23 16:05:36
36497565,The Effect of Resistance Training on the Rehabilitation of Elderly Patients with Sarcopenia: A Meta-Analysis.,"Zhao H, Cheng R, Song G et al.",International journal of environmental research and public health,2022 Nov 22,Int J Environ Res Public Health,resistance training,https://pubmed.ncbi.nlm.nih.gov/36497565/,2026-01-23 16:05:36
31343601,Resistance Training for Older Adults: Position Statement From the National Strength and Conditioning Association.,"Fragala MS, Cadore EL, Dorgo S et al.",Journal of strength and conditioning research,2019 Aug,J Strength Cond Res,resistance training,https://pubmed.ncbi.nlm.nih.gov/31343601/,2026-01-23 16:05:36
35055695,"A Review on Aging, Sarcopenia, Falls, and Resistance Training in Community-Dwelling Older Adults.","Rodrigues F, Domingos C, Monteiro D et al.",International journal of environmental research and public health,2022 Jan 13,Int J Environ Res Public Health,resistance training,https://pubmed.ncbi.nlm.nih.gov/35055695/,2026-01-23 16:05:36
32658037,Exercise Progression to Incrementally Load the Achilles Tendon.,"Baxter JR, Corrigan P, Hullfish TJ et al.",Medicine and science in sports and exercise,2021 Jan,Med Sci Sports Exerc,exercise physiology,https://pubmed.ncbi.nlm.nih.gov/32658037/,2026-01-23 16:05:40
29129214,Exercise and Older Adults.,"Mora JC, Valencia WM",Clinics in geriatric medicine,2018 Feb,Clin Geriatr Med,exercise physiology,https://pubmed.ncbi.nlm.nih.gov/29129214/,2026-01-23 16:05:40
29098620,Clinical Evidence of Exercise Benefits for Stroke.,"Han P, Zhang W, Kang L et al.",Advances in experimental medicine and biology,2017,Adv Exp Med Biol,exercise physiology,https://pubmed.ncbi.nlm.nih.gov/29098620/,2026-01-23 16:05:40
30642252,"Effects of three home-based exercise programmes regarding falls, quality of life and exercise-adherence in older adults at risk of falling: protocol for a randomized controlled trial.","Mittaz Hager AG, Mathieu N, Lenoble-Hoskovec C et al.",BMC geriatrics,2019 Jan 14,BMC Geriatr,exercise physiology,https://pubmed.ncbi.nlm.nih.gov/30642252/,2026-01-23 16:05:40
25305061,Exercise and cardiovascular risk in patients with hypertension.,"Sharman JE, La Gerche A, Coombes JS",American journal of hypertension,2015 Feb,Am J Hypertens,exercise physiology,https://pubmed.ncbi.nlm.nih.gov/25305061/,2026-01-23 16:05:40
30525318,"[Strength training in children and adolescents: benefits, risks and recommendations].",Comité Nacional de Medicina del Deporte Infantojuvenil,Archivos argentinos de pediatria,2018 Dec 1,Arch Argent Pediatr,strength training,https://pubmed.ncbi.nlm.nih.gov/30525318/,2026-01-23 16:05:43
35564764,Strength Training in Swimming.,"Wirth K, Keiner M, Fuhrmann S et al.",International journal of environmental research and public health,2022 Apr 28,Int J Environ Res Public Health,strength training,https://pubmed.ncbi.nlm.nih.gov/35564764/,2026-01-23 16:05:43
28490537,Adaptations to Endurance and Strength Training.,"Hughes DC, Ellefsen S, Baar K",Cold Spring Harbor perspectives in medicine,2018 Jun 1,Cold Spring Harb Perspect Med,strength training,https://pubmed.ncbi.nlm.nih.gov/28490537/,2026-01-23 16:05:43
27692740,Strength training for plantar fasciitis and the intrinsic foot musculature: A systematic review.,"Huffer D, Hing W, Newton R et al.",Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine,2017 Mar,Phys Ther Sport,strength training,https://pubmed.ncbi.nlm.nih.gov/27692740/,2026-01-23 16:05:43
23914932,Optimizing strength training for running and cycling endurance performance: A review.,"Rønnestad BR, Mujika I",Scandinavian journal of medicine & science in sports,2014 Aug,Scand J Med Sci Sports,strength training,https://pubmed.ncbi.nlm.nih.gov/23914932/,2026-01-23 16:05:43
